time,avifileindex,Longitude,Latitude,Altitude,Satellites,Heading,Nozzle1downTMSCS,Nozzle2downTMS,SideBrush1downTMS,SideBrush2downTMS,BrushCurrent,SideBrush1ExtendTMSCS,SideBrush2ExtendTMSCS,SideBrush1RetractTMSCS,SideBrush2RetractTMSCS,Nozzle1WaterSprayOnOffTMS,Nozzle2WaterSprayOnOffTMS,SideBrush1WaterSprayTMS,SideBrush2WaterSprayTMS,WSBMotoronoffTMS,FanOnTMS,WorkLight1OnOffTMS,WorkLight2OnOffTMS,NozGapOpen,NozGapClose,Pause_active,AutoSweepActive,EngineType,EngineSpeed,RoadSpeedTMSCS,EngineFuelRateTMSCS,FanSpeed,TotalFuelConsumption,WaterTankLevel,JVMheartbeat,JVMALerts,GutterSprayOnOff,AddWaterSprayOnOff,WaterRe_circOnOff,modbus_id,pm_sensor_serious_fault,pm_sensor_fault,pm_sensor_is_degraded_mode,pm_sensor_is_ready,pm_1,pm_2_5,pm_10,temperature,firmware_version,humidity,"error
",fuel_consumed,location
13:30:51.800,1,-0.344666987657547,51.44879531860352,25.553,11.0,328.2032775878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,906.0,0.0,2.85,1534.0,2795.8500000000004,18.5,Operational,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.916666666666668e-05,"LBRUT Central Depot, Craneford Way, Strawberry Hill, London Borough of Richmond upon Thames, London, Greater London, England, TW2 7SQ, United Kingdom"
13:30:51.900,1,-0.3446674942970276,51.44879531860352,25.762,11.0,328.2032775878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,889.0,0.0,2.75,1523.0,2795.8500000000004,18.5,Operational,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.638888888888889e-05,"LBRUT Central Depot, Craneford Way, Strawberry Hill, London Borough of Richmond upon Thames, London, Greater London, England, TW2 7SQ, United Kingdom"
13:30:52.000,1,-0.3446674942970276,51.44879531860352,25.762,11.0,328.2032775878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,886.0,0.0,2.85,1522.0,2795.8500000000004,18.5,Operational,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.916666666666668e-05,"LBRUT Central Depot, Craneford Way, Strawberry Hill, London Borough of Richmond upon Thames, London, Greater London, England, TW2 7SQ, United Kingdom"
13:30:52.100,1,-0.3446674942970276,51.44879531860352,25.762,11.0,328.2032775878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,887.0,0.0,2.85,1525.0,2795.8500000000004,18.5,Operational,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.916666666666668e-05,"LBRUT Central Depot, Craneford Way, Strawberry Hill, London Borough of Richmond upon Thames, London, Greater London, England, TW2 7SQ, United Kingdom"
13:30:52.200,1,-0.3446674942970276,51.44879531860352,25.762,11.0,328.2032775878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,888.0,0.0,2.95,1525.0,2795.8500000000004,18.5,Operational,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.194444444444445e-05,"LBRUT Central Depot, Craneford Way, Strawberry Hill, London Borough of Richmond upon Thames, London, Greater London, England, TW2 7SQ, United Kingdom"
13:30:52.300,1,-0.3446674942970276,51.44879531860352,25.762,11.0,328.2032775878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,885.0,0.0,2.95,1520.0,2795.8500000000004,18.5,Operational,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.194444444444445e-05,"LBRUT Central Depot, Craneford Way, Strawberry Hill, London Borough of Richmond upon Thames, London, Greater London, England, TW2 7SQ, United Kingdom"
13:30:52.400,1,-0.3446674942970276,51.44879531860352,25.762,11.0,328.2032775878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,884.0,0.0,2.95,1516.0,2795.8500000000004,18.5,Operational,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.194444444444445e-05,"LBRUT Central Depot, Craneford Way, Strawberry Hill, London Borough of Richmond upon Thames, London, Greater London, England, TW2 7SQ, United Kingdom"
13:30:52.500,1,-0.3446674942970276,51.44879531860352,25.762,11.0,328.2032775878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,883.0,0.0,3.0,1516.0,2795.8500000000004,18.5,Operational,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334e-05,"LBRUT Central Depot, Craneford Way, Strawberry Hill, London Borough of Richmond upon Thames, London, Greater London, England, TW2 7SQ, United Kingdom"
13:30:52.600,1,-0.3446674942970276,51.44879531860352,25.762,11.0,328.2032775878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,883.0,0.0,3.1,1516.0,2795.8500000000004,18.5,Operational,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.611111111111112e-05,"LBRUT Central Depot, Craneford Way, Strawberry Hill, London Borough of Richmond upon Thames, London, Greater London, England, TW2 7SQ, United Kingdom"
13:30:52.700,1,-0.3446674942970276,51.44879531860352,25.762,11.0,328.2032775878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,883.0,0.0,3.1,1516.0,2795.8500000000004,18.5,Operational,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.611111111111112e-05,"LBRUT Central Depot, Craneford Way, Strawberry Hill, London Borough of Richmond upon Thames, London, Greater London, England, TW2 7SQ, United Kingdom"
13:30:52.800,1,-0.3446674942970276,51.44879531860352,25.762,11.0,328.2032775878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,882.0,0.0,3.1500000000000004,1518.0,2795.8500000000004,18.5,Operational,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.750000000000001e-05,"LBRUT Central Depot, Craneford Way, Strawberry Hill, London Borough of Richmond upon Thames, London, Greater London, England, TW2 7SQ, United Kingdom"
13:30:52.900,1,-0.3446685969829559,51.44879150390625,26.115,10.0,328.2032775878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,884.0,0.0,3.2,1520.0,2795.8500000000004,18.5,Operational,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.888888888888889e-05,"LBRUT Central Depot, Craneford Way, Strawberry Hill, London Borough of Richmond upon Thames, London, Greater London, England, TW2 7SQ, United Kingdom"
13:30:53.000,1,-0.3446685969829559,51.44879150390625,26.115,10.0,328.2032775878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,885.0,0.0,3.25,1520.0,2795.8500000000004,18.5,Operational,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.02777777777778e-05,"LBRUT Central Depot, Craneford Way, Strawberry Hill, London Borough of Richmond upon Thames, London, Greater London, England, TW2 7SQ, United Kingdom"
13:30:53.100,1,-0.3446685969829559,51.44879150390625,26.115,10.0,328.2032775878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,886.0,0.0,3.25,1522.0,2795.8500000000004,18.5,Operational,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.02777777777778e-05,"LBRUT Central Depot, Craneford Way, Strawberry Hill, London Borough of Richmond upon Thames, London, Greater London, England, TW2 7SQ, United Kingdom"
13:30:53.200,1,-0.3446685969829559,51.44879150390625,26.115,10.0,328.2032775878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,886.0,0.0,3.3000000000000003,1522.0,2795.8500000000004,18.5,Operational,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.166666666666668e-05,"LBRUT Central Depot, Craneford Way, Strawberry Hill, London Borough of Richmond upon Thames, London, Greater London, England, TW2 7SQ, United Kingdom"
13:30:53.300,1,-0.3446685969829559,51.44879150390625,26.115,10.0,328.2032775878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,887.0,0.0,3.4000000000000004,1523.0,2795.8500000000004,18.5,Operational,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.444444444444446e-05,"LBRUT Central Depot, Craneford Way, Strawberry Hill, London Borough of Richmond upon Thames, London, Greater London, England, TW2 7SQ, United Kingdom"
13:30:53.400,1,-0.3446685969829559,51.44879150390625,26.115,10.0,328.2032775878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,888.0,0.0,3.35,1523.0,2795.8500000000004,18.5,Operational,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.305555555555556e-05,"LBRUT Central Depot, Craneford Way, Strawberry Hill, London Borough of Richmond upon Thames, London, Greater London, England, TW2 7SQ, United Kingdom"
13:30:53.500,1,-0.3446685969829559,51.44879150390625,26.115,10.0,328.2032775878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,888.0,0.0,3.35,1527.0,2795.8500000000004,18.5,Operational,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.305555555555556e-05,"LBRUT Central Depot, Craneford Way, Strawberry Hill, London Borough of Richmond upon Thames, London, Greater London, England, TW2 7SQ, United Kingdom"
13:30:53.600,1,-0.3446685969829559,51.44879150390625,26.115,10.0,328.2032775878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,889.0,0.0,3.45,1528.0,2795.8500000000004,18.5,Operational,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.583333333333334e-05,"LBRUT Central Depot, Craneford Way, Strawberry Hill, London Borough of Richmond upon Thames, London, Greater London, England, TW2 7SQ, United Kingdom"
13:30:53.700,1,-0.3446685969829559,51.44879150390625,26.115,10.0,328.2032775878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,891.0,0.0,3.45,1530.0,2795.8500000000004,18.5,Operational,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.583333333333334e-05,"LBRUT Central Depot, Craneford Way, Strawberry Hill, London Borough of Richmond upon Thames, London, Greater London, England, TW2 7SQ, United Kingdom"
